month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-06-01,QUEENSTOWN,3 ROOM,165,STIRLING RD,07 TO 09,60.0,Improved,1970,324008.0,Jan2015-Dec2016 (Registration),54.0,42,6,42 years 06 months,id_duplicate,S1653806Q
2015-06-01,QUEENSTOWN,3 ROOM,100,C'WEALTH CRES,01 TO 03,59.0,Standard,1970,298000.0,Jan2015-Dec2016 (Registration),54.0,42,6,42 years 06 months,id_duplicate,S1003806Q
2015-06-01,SENGKANG,5 ROOM,408C,FERNVALE RD,04 TO 06,115.0,Premium Apartment,2005,425000.0,Jan2015-Dec2016 (Registration),88.0,77,6,77 years 06 months,id_duplicate,S4084606S
2015-06-01,SENGKANG,5 ROOM,295B,COMPASSVALE CRES,13 TO 15,110.0,Improved,2002,416500.0,Jan2015-Dec2016 (Registration),85.0,74,6,74 years 06 months,id_duplicate,S2954606S
2015-06-01,SENGKANG,5 ROOM,122E,RIVERVALE DR,10 TO 12,110.0,Improved,2000,410000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S1224606S
2015-06-01,SENGKANG,5 ROOM,157D,RIVERVALE CRES,04 TO 06,111.0,Premium Apartment,2003,402500.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S1574606S
2015-06-01,SENGKANG,5 ROOM,226B,COMPASSVALE WALK,01 TO 03,115.0,Improved,1999,396000.0,Jan2015-Dec2016 (Registration),83.0,71,6,71 years 06 months,id_duplicate,S2264606S
2015-06-01,SENGKANG,4 ROOM,275A,COMPASSVALE LINK,07 TO 09,92.0,Premium Apartment,2009,530000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,id_duplicate,S2754206S
2015-06-01,SENGKANG,4 ROOM,277B,COMPASSVALE LINK,13 TO 15,90.0,Premium Apartment,2009,520000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,id_duplicate,S2774206S
2015-06-01,SENGKANG,4 ROOM,264E,COMPASSVALE BOW,04 TO 06,92.0,Premium Apartment,2008,487000.0,Jan2015-Dec2016 (Registration),91.0,80,6,80 years 06 months,id_duplicate,S2644206S
2015-06-01,SENGKANG,4 ROOM,271B,SENGKANG CTRL,01 TO 03,93.0,Premium Apartment,2010,480000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S2714206S
2015-06-01,SENGKANG,4 ROOM,265E,COMPASSVALE BOW,10 TO 12,92.0,Premium Apartment,2007,480000.0,Jan2015-Dec2016 (Registration),91.0,79,6,79 years 06 months,id_duplicate,S2654206S
2015-06-01,SENGKANG,5 ROOM,258B,COMPASSVALE RD,01 TO 03,110.0,Improved,2001,445000.0,Jan2015-Dec2016 (Registration),84.0,73,6,73 years 06 months,id_duplicate,S2584606S
2015-06-01,PUNGGOL,5 ROOM,126D,EDGEDALE PLAINS,04 TO 06,110.0,Improved,2003,418000.0,Jan2015-Dec2016 (Registration),86.0,75,6,75 years 06 months,id_duplicate,S1264506P
2015-06-01,SENGKANG,5 ROOM,231,COMPASSVALE WALK,10 TO 12,121.0,Improved,1999,478000.0,Jan2015-Dec2016 (Registration),83.0,71,6,71 years 06 months,id_duplicate,S2314606S
2015-06-01,SENGKANG,5 ROOM,258C,COMPASSVALE RD,04 TO 06,110.0,Improved,2001,475000.0,Jan2015-Dec2016 (Registration),84.0,73,6,73 years 06 months,id_duplicate,S2584606S
2015-06-01,SENGKANG,5 ROOM,261B,SENGKANG EAST WAY,01 TO 03,110.0,Improved,2000,470000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S2614606S
2015-06-01,SENGKANG,5 ROOM,317B,ANCHORVALE RD,07 TO 09,110.0,Premium Apartment,2003,470000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S3174606S
2015-06-01,SENGKANG,4 ROOM,441D,FERNVALE RD,16 TO 18,93.0,Model A,2012,457000.0,Jan2015-Dec2016 (Registration),95.0,84,6,84 years 06 months,id_duplicate,S4414206S
2015-06-01,SENGKANG,4 ROOM,309C,ANCHORVALE RD,16 TO 18,93.0,Premium Apartment,2002,379000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S3094206S
2015-06-01,SENGKANG,4 ROOM,307A,ANCHORVALE RD,10 TO 12,90.0,Model A,2001,366000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S3074206S
2015-06-01,SENGKANG,3 ROOM,441D,FERNVALE RD,07 TO 09,69.0,Model A,2012,352000.0,Jan2015-Dec2016 (Registration),95.0,84,6,84 years 06 months,id_duplicate,S4413506S
2015-06-01,SEMBAWANG,5 ROOM,501B,WELLINGTON CIRCLE,10 TO 12,111.0,Improved,2001,450000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S5014106S
2015-06-01,SENGKANG,4 ROOM,307D,ANCHORVALE RD,04 TO 06,90.0,Model A,2001,385000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S3074206S
2015-06-01,SENGKANG,4 ROOM,150,RIVERVALE CRES,10 TO 12,90.0,Model A,2005,388000.0,Jan2015-Dec2016 (Registration),89.0,77,6,77 years 06 months,id_duplicate,S1504206S
2015-06-01,SENGKANG,4 ROOM,441B,FERNVALE RD,16 TO 18,92.0,Model A,2012,450000.0,Jan2015-Dec2016 (Registration),95.0,84,6,84 years 06 months,id_duplicate,S4414206S
